sentence	label
what program do i need to run a tbk file 	1
what is the difference between a generator and an alternator 	0
who was the first black golfer to tee off in the masters 	3
what did vasco da gama discover 	1
what country are you visiting if you land at president duvalier airport 	4
what is federal income tax 	0
what was the vietnam war 	0
the operating system that runs on ibm compatible machines is called what 	1
what is the name of the city that maurizio pellegrin lives in 	4
what is celebrated during the week of february 21 27 	1
what does freddy freeman say to become captain marvel jr 	0
who won the first world series 	3
who played the father on `` charles in charge '' 	3
when does the bible say the seasons started 	5
what 's the only color johnny cash wears on stage 	1
what u s state lived under six flags 	4
how many engines does a boeing 737 have 	5
what fool is not so wise to lose an oath to win a paradise 	3
what are the three most populated countries in the world 	4
what suburban housewife and mother of three wrote the feminine mystique 	3
what american league baseball team 's worst finish between 1926 and 1964 was fourth 	3
what is the `` fourth dimension '' 	0
how many times a day should you take a prescription marked `` q i d 	5
what is the fastest commercial automobile that can be bought in the us 	1
what 's the third month of the gregorian calendar 	5
what was the `` dead man 's hand '' 	0
how does blood clot 	0
who won two gold medals in skiing in the olympic games in calgary 	3
what is the present pope named 	3
what is a fear of robbers 	1
what invention does the principle of conservation of energy make impossible 	1
what is the origin of gametophytic tissue 	0
what nantucket shipwreck killed more divers exploring it than the 52 people it sank with 	1
why did the aztecs first think the spanish were gods 	0
who starred in the movie the war of the worlds 	3
what famed gangland slaughter cut into the membership of bugs moran 's outfit 	1
where can i find information on the narragansett indians and other tribes in rhode island 	4
what is an auto commentary 	0
how long does it take for your body to restore blood after you donate your 	5
what film was based on the play everybody comes to rick 's 	1
what country has declared one fifth of its territory off limits to russians 	4
what does a heliologist study 	1
what broadway musical featured the song `` if i were a rich man '' 	1
who was the mother of the man who would not be king the duke of 	3
which of the following people is not associated with andy warhol 	3
who is the current un secretary general 	3
what web sites are linked to the report on genesis eldercare 	4
what company produces spumante 	3
what comedienne calls her sister in law captain bligh and her mother in law moby 	3
how many americans fought for the british in the american revolution 	5
what is the pig population of the world 	5
what does inuit and eskimo mean 	0
who is always trying to get the rent from andy capp 	3
who developed potlatch 	3
what is the average cost for four years of medical school 	5
what was the name of the ball game played by the mayans 	1
what does rca stand for 	2
what is the fear of cockroaches called 	1
where is rider college located 	4
which two inventors invented post its 	3
who made the deodorant that claimed that it `` actually builds up resistance to odor 	3
how tall is prince charles 	5
what is the most common boy 's or girl 's name 	3
what is the tallest mountain 	4
how many people were executed for abraham lincoln 's assassination 	5
what is the weather like on the moon 	0
which classical spanish writer said `` all that glitters is not gold '' 	3
how much does one ton of cement cost 	5
what is the celtic symbol for `` life '' 	1
what international organization was founded by clara barton 	3
what 's the closest g2 spectrum yellow dwarf to earth 	4
who is dear abby 	3
what is the first personal computer company 	3
what detective lives on punchbowl hill and has 11 children 	3
what does gringo mean 	0
on what t v show could tom terrific be found 	1
what cancer is commonly associated with aids 	1
what sport features slotbacks tailbacks and touchbacks 	1
what is goulash 	0
what 's the meaning of the name tatiana 	0
what kind of habitat does the scorpion live in 	4
who is the leader of india 	3
what was the name of the lawyer who represented randy craft 	3
what do the letters zip stand for in the phrase `` zip code '' 	2
what is the second hardest substance 	1
who wrote the song `` stardust '' 	3
who 's the only man to have won the olympic decathlon twice 	3
how hot should the oven be when making peachy oat muffins 	5
how many points make up a perfect fivepin bowling score 	5
what 's the american dollar equivalent for 8 pounds in the u k 	5
when was the battle of hastings 	5
where is dartmouth college 	4
what is the brand name of daminozide 	1
how much salt is in the oceans 	5
what fast food magnate 's initials graced the left sleeve of the san diego padres 	3
what poem contains the line `` grow old with me the best is yet to 	1
what are the powers and weaknesses of green lantern 's ring 	0
what does a polyorchid man have at least three of 	1
how many people lived in nebraska in the mid 1900s 	5
what is the taj majal made of 	1
which college did dikembe mutombo play basketball for 	3
what is idealab 	0
what creature is the absolute fastest in moving in the world birds mammals etc 	1
how is a hydrogen bomb different from a nuclear bomb 	0
name an american made motorcycle 	1
how do they find an epicenter 	0
how did socrates die 	0
what was the minimum wage in 1991 	5
how long does it take for your blood to make one complete trip through the 	5
who wrote the ugly duckling 	3
who are the presidents of mexico and indonesia 	3
what is a cullion 	0
where is sinn fein 's headquarters 	4
what war was fought by the spanish as far as the philippines 	1
how many james bond novels are there 	5
what is a fear of odors body 	1
whose video is titled shape up with arnold 	3
how many miles is it from ny to austria 	5
how can i get someone 's email address 	0
who was maria theresa 	3
why are the ears your center of balance 	0
where can i find examples of legal cases about the individuals with disabilities education act 	4
which country is the largest country in latin america 	4
where was the first zoo in the u s 	4
what 's the second largest island in the world 	4
what are some important events of the 1830 's 	1
what is latin for incompetent 	1
what is the name of the largest water conservancy project in china 	1
why are the rooftops in canada green 	0
how many people live in tokyo 	5
what is the largest lake in north america 	4
what does the dot on the letter i mean 	0
how long after intercourse does it take to find out if you are pregnant 	5
how many john deere tractors have been manufactured 	5
what does it take to be a hero 	1
what 's the tallest piece on a chessboard 	1
in which kevin costner movie did sioux indians play a role 	1
what book is subtitled the preservation of favoured races in the struggle for life 	1
what country has problems with hooligans 	4
what does the t s stand for in t s eliot 's name 	2
what is the meaning of thalassemia 	0
what 's a perfect score in a gymnastics exercise 	5
a normal human pregnancy lasts how many months 	5
when is dick clark 's birthday 	5
what is the biggest `` thing '' humans have made 	1
what famed tennis tournament 's men 's singles title was fred perry the last englishman 	1
how do you say 2 in latin 	1
who invented the toothbrush 	3
what is a common dolphin 	0
what are all the southern states of the united states 	4
what happened on january 15 1969 	1
where can i find book reviews of `` turbulent souls '' 	4
who is john macarthur 1767 1834 	3
what country was mikhail gorbachev the leader of 	4
who created the world wide web www 	3
what was the christian name of the title character in our miss brooks 	3
what 's the rathaus in frankfurt 	0
how much money does the sultan of brunei have 	5
what does storm wave mean in japanese 	0
what is a disaccharide 	0
where is the largest post office building in the world 	4
where did the marriage ceremony come from 	0
who was gerald ford 's vice president 	3
name a film in which jude law acted 	1
who invented the paper clip 	3
what country was erich honecker the leader of 	4
what is the all time stock high of apple computer and where can i find 	5
what leon uris novel dealt with the russian capture of berlin 	1
what engineer invented the pull tab can 	3
what does a phobophobe fear 	1
what card game derived its name from biritch or russian whist 	1
who killed gandhi 	3
what organic fuel do bog dwellers use a `` slane '' to cut 	1
how do ouija boards work 	0
in the miller lite tv commercial who is the creature 	1
why are organ transplants more successful today 	0
what is the use of a 24 hour clock instead of a 12 hour clock 	0
what was the sequel to the moon 's balloon 	1
how far do you have to run if you hit a home run 	5
what does seccession mean 	0
what is the name of the managing director of apricot computer 	3
where does the u s rank among world countries in area 	5
what is the horsepower of the shuttle boosters 	5
what south american country won its first world cup soccer title in 1978 	4
where can i get information concerning child custody files for the state of utah 	4
where can i find info on research being done on oilseeds thru genetics 	4
what can one see in reims 	1
name four comic strips about pilots 	1
what cathedral was thomas becket murdered in 	4
when was yemen reunified 	5
which company created the internet browser mosaic 	3
how many colleges are in wyoming 	5
how do you get rid on woodpeckers 	0
why is rush 's 2112 called 2112 	0
how do you box train a cat 	0
what is one of the languages spoken by the sioux called 	1
what do ladybugs eat 	1
in what year was the first patent for the pull tab opener on cans obtained 	5
what is a wet dream 	0
what sprawling u s state boasts the most airports 	4
what animal dined on bread and oysters with a carpenter 	1
which side of the face do most artists tend to show more of in self 	1
what is ioc an abbreviation of 	2
name the three races unleashed by the celestials in marvel comics 	3
what level of government or governmental agency is responsible for dealing with racism 	3
what country contains africa 's northernmost point 	4
what movie tour of the roman empire features the admonition `` row well and live 	1
the iraqis launched their attack on kuwait on what day 	5
in which year was the cartoon character chilly willy created 	5
what japanese manufacturer is known for both its pianos and its motorcycles 	3
what does `` janelle '' mean 	0
where is the bulls basketball team based 	4
who won the 1968 california democratic primary 	3
who was in death of a salesman original movie not 1985 	3
how is the new ford econoline van f25 v1 engine 	0
how many times was pitcher warren spahn a 20 game winner in his 21 major 	5
what former african leader held his country 's boxing title for nine years 	3
who is terrence malick 	3
what was the name of the confederate mounted guerrilla group with which jesse james and 	3
how do you solve `` rubik 's cube '' 	0
what do i need to learn to design web pages 	0
who said `` i shall return '' during world war two 	3
what is the mascot for notre dame university 	1
what effect does lsd have on the brain 	0
how do you tell your parents you are dating an older man 	0
how many quarters equal a pound 	5
what date did man first land on the moon 	5
who was the accused in the trial of the century which opened janurary 1 1935 	3
what country boasts the southernmost point in continental europe 	4
how did former wwf wrestler rick rude die 	0
what is the largest city in connecticut 	4
what will the increase be in the california gas tax by 2000 	5
what are the best ways to improve employee morale at low cost 	1
what six words follow the line `` from a jack to a king '' 	1
what are snowballs to a hot rodder 	0
what are the top five oil producing countries in the world 	4
what is troilism 	0
name the four horsemen of the apocalypse 	3
what is white chocolate 	0
in what deodorant commercial did tenants have adjoining medicine cabinets 	1
what did dan aykroyd and john belushi quit saturday night live to become 	1
what is a fear of stings 	1
what 's the highest possible bid in contract bridge 	1
how many people have been captain america 	5
what was the name of the u s 's first manned space program 	1
who was samuel johnsons 's friend and biographer 	3
what is the dot on an the letter i called 	1
how did asia get its name 	0
what is a biologist 	0
who played for the chicago bears houston oilers and oakland raiders in a 26 year 	3
how can i determine the radius of an ellipse 	0
what animal occurs in spielberg 's `` jaws '' 	1
which team won the super bowl in 1968 	3
why do some people have two different color eyes 	0
who was the first english circumnavigator of the globe 	3
what is the most populated city in the world 	4
how many fiddlers did old king cole have 	5
what color s appear on boxes of kodak film 	1
what country 's capital is tirana 	4
how do you make the color purple 	0
who is nicolo paganini 	3
what is the west virginia state animal 	1
what country was a terrible beauty to leon uris 	4
what is the dialogue circle in cartoons called 	1
who was the first host of person to person 	3
what is a caldera 	0
what was franklin roosevelt 's program for economic recovery called during the great depression 	1
when was the ussr dissolved 	5
what southern california town is named after a character made famous by edgar rice burroughs 	4
how many colors are there in a rainbow 	5
who followed up his first two underwater thrillers with the girl of the sea of 	3
what state is niagara falls located in 	4
what is bill gates of microsoft e mail address 	4
how can i find a list of fax and or email addresses for human resource 	0
who directed citizen kane 	3
who is the son in law of sen everett dirkson who was also a senator 	3
what three european countries begin with the letter a 	4
in hemingway 's `` old man and the sea '' what kind of fish does 	1
what tv game show once saw a contestant admit to picking his toes in the 	1
what english physician was born on january 18 1779 and went on to create two 	3
what enigmatic u s vice president was once tried and acquitted for treason in a 	3
when was hurricane hugo 	5
where is amsterdam 	4
what is larry king 's job 	3
what would you add to the clay mixture to produce bone china 	1
how many people die of tuberculosis yearly 	5
what are liver enzymes 	0
what year did spielberg make `` jaws '' 	5
who is the prime minister of australia 	3
what is the website for the usa journal 	4
what square is the geographical center of london 	4
what is the name of the planet that the ewoks live on 	4
what is garry kasparov famous for 	0
what singer 's hit song inspired the dolly parton stallone movie rhinestone 	3
where on the internet can i find information on laundry detergent 	4
who is count cinzano 	3
what is the largest city in germany 	4
how many tiles did the space shuttle columbia lose on its second flight 	5
in what medium is stuart hamblen considered to be the first singing cowboy 	1
what animal causes the biggest threat to humans 	1
who did richard nixon tender his resignation to 	3
what 's the name of the tokyo stock exchange 	1
what body of water does the yukon river empty into 	4
how many mountains have been named for presidents in the continental usa 	5
what cooking oil has `` corn goodness '' 	1
what 's the best way to lose the flab under your chin and around your 	1
what type of bridge is the golden gate bridge 	1
how many varieties of apple are there 	5
what is a handheld pc 	0
what are the 7 wonders of the world 	1
in what u s state was the first woman governor elected 	4
what is a fear of home surroundings 	1
how do you recognize anorexia 	0
what is moxie 	0
what is the name of the second space shuttle 	1
who was the first elected mayor of washington d c 	3
name the tree growing company 	3
what kind of patent did ermal fraze get in 1963 	1
who holds the nfl record for most touchdowns in a season 	3
what killed bob marley 	1
what is mandibulofacial dysostosis 	0
what do sailors use to measure time 	1
what does each of the utilities cost in monopoly 	5
name the men 's cologne that is associated with the sea 	1
where on the web is adventours tours from sydney australia 	4
how many sides does an obelisk have 	5
what is the socratic method 	0
who is the famous sister of actress olivia de havilland 	3
what 1895 h g wells novel was written under the title the chronic argonauts 	1
what movie did madilyn kahn star in with gene wilder 	1
what did the seven dwarfs do for a living 	3
what is the proof that houseplants metabolize carcinogens 	0
what is the origin of infinity 	0
who patented the first phonograph 	3
what are the titles of some r rated sony playstation games 	1
what is difference between a poster and a print 	0
what is bombay duck 	0
what is deconstructionism 	0
what did 8 cd nns vbp to vb nnp pos nn 	1
what three colors of ink are used to print a u s dollar bill 	1
what tennis player has the nickname `` nasty '' 	3
what is widely used to detect prenatal birth defects 	1
what country borders denmark to the south 	4
for what reason did the shea gould law firm close their l a office 	0
where did the mayan indians live 	4
what is limbo 	0
what is the highest continent 	4
what are the three animals in sheila burnford 's the incredible journey 	1
what is the fear of the computer called 	1
what happened in the long march 	0
what is endometriosis 	0
when did hitler come to power in germany 	5
which presidents of the usa were masons 	3
name the vessel used by the atari force in the dc comics 	1
what generation am i in 	1
who is pia zadora 's millionaire husband and mentor 	3
what does the statue of liberty wear on her feet 	1
what did richard feynman say upon hearing he would receive the nobel prize in physics 	0
how many times in his 16 year national basketball associaton career was john havlicek a 	5
what is the abbreviation of the national bureau of investigation 	2
when did the `` star spangled banner '' become the national anthem 	5
what 's known as the queen of drinks 	1
when was the slinky invented 	5
what is svhs 	2
what astronomer architect designed the present st paul 's cathedral in london 	3
who shared a new york city apartment with roger maris the year he hit 61 	3
who 's the king of swing 	3
what is mississippi 's state animal 	1
where can i find the schematics to the windshield wiper mechanism 	4
what actor was the first man to appear on the cover of mccall 's 	3
what animal has been called the poor man 's cow 	1
what did abolitionists try to end 	1
what u s government agency registers trademarks 	3
what 's the most extensively grown and eaten food 	1
what product did william horlick discover and produce 	1
how did p t barnum bill the diminutive charles s stratton 	0
what was simple simon fishing for in his mother 's pail 	1
what makes a clitoris sensitive 	0
what is goldfinger 's first name 	3
what is the history of the soft drink mr pibb 	0
where are the headquarters of eli lilly 	4
how many sperm cells are in an average ejaculation 	5
when did the supercontinent pangaea break up 	5
what erica jong novel deals with isadora wing 's fear 	1
where does the song anything goes take place 	4
where is the kalahari desert 	4
where are diamonds mined 	4
how many miles of veins are in the circulatory system 	5
what are the words to the cd eminem 's or slim shady `` my name 	0
what was the date of iraq 's invasion of kuwait 	5
why are there olives in martinis 	0
how many pitchers occupy the shelf beside the crouching woman in edgar degas 's 1886 	5
what is the biblical meaning of ` stones ' 	0
who is the president of ghana 	3
who wrote the lyrics to porgy and bess 	3
how long does it take the milky way galaxy to make one revolution 	5
who built the first pyramid 	3
who became president of the u s in 1789 	3
how do birds find their way back to the same place every year 	0
which medium is hamblen the first singing cowboy in 	1
what golfing accessory was patented by george grant on december 12 	1
who were the picts 	3
who sings the themes for `` dawson 's creek '' and `` felicity '' 	3
what 's the second biggest selling magazine in america 	1
how do you exterminate bees that are in the walls of your home will bee 	0
what was the name given the 6 500 german airforce troops that used the spanish 	3
what kind of fruit is a yellow transparent 	1
how many pins are used in skittles 	5
how is energy created 	0
how many equal angles are there in an isosceles triangle 	5
who is zebulon pike 	3
where was george washington born 	4
how can i find out my biorhythm 	0
what is the fastest growing state in the u s a in 1998 	4
what is the correct way to mount a roll of toilet paper 	1
what does an echidna look like 	0
what is nicholas cage 's profession 	3
what is the name of the american who was captured when his plane went down 	3
what are people doing to help prevent the extinction of birds 	0
what is a fear of sourness 	1
what is the origin of the atom 	0
what is the longest chemical name consisting of 35 letters 	1
what is the `` global economy '' 	0
how many films are made by the major studios in a year 	5
what terror of the sea did johnny horton sing about 	1
what member of the little rascals has an on again off again sweetheart in darla 	3
when did the royal wedding of prince andrew and fergie take place 	5
how can a foreigner get a u s social security card 	0
what president was buried at his ancestral home overlooking the hudson river at hyde park 	3
what predators exist on antarctica 	1
what does an ashen faced eidologist search out the existence of 	1
how much folic acid should an expectant mother get daily 	5
what was john f kennedy 's 1960 campaign song 	1
how does an ion drive work 	0
what is the nature of snow and how is the formation of snow different from 	0
how far is london uk from california 	5
how deep is a fathom 	5
how many hours of work does it take a typist to complete a 100 page 	5
what is the theory of equivalence states 	0
what war did the potsdam conference follow 	1
what is the snowiest city in the u s 	4
who is the greek god of the sea 	3
what country 's national passenger rail system is called via 	4
what causes pneumonia 	0
who was the 3rd president of the united states 	3
what are maid rites 	0
what new year is celebrated on february 16th 	1
in 139 the papal court was forced to move from rome to where 	4
what is the origin of the word `` sideburns '' 	0
how many athletes did puerto rico enter in the 1984 winter olympics 	5
who was garrett morgan married to 	3
how many species of sharks are there 	5
what kind of mammal is a colt 	1
what baseball outcome required nine balls in 1879 eight balls in 1880 and seven balls 	1
what is a nanometer 	0
what state 's home to the buffalo bill historical center 	4
what is a green bog 	0
how much money did the marcos steal from their country 	5
how is it correct to say ` qigong ' 	0
define sinn fein 	0
what product 's ads claim that it `` eliminates odors kills household germs mold and 	1
what is a fear of food 	1
how old is stevie wonder 	5
where did sarge steel get his metal hand 	4
what is deet 	2
what were the trials called which followed world war ii 	1
how long does it take sunlight to reach earth 	5
who painted mother and child 	3
who played the title role in my favorite martian 	3
what cocktail inspired john doxat to write the book stirred not shaken 	1
what are the top vegetable crops in the world 	1
who is the composer of `` canon in d major '' 	3
where are the union stockyards 	4
what were the first words spoken on a film sound track 	0
what is office automation 	0
what u s general died december 1 1945 when his jeep collided with a truck 	3
what are the valdez principles 	0
what is amezaiku 	0
what nazi leader killed himself in jail just before he was to be executed as 	3
when was the first successful heart transplant for a human 	5
what is a fear of shadows 	1
which college did dikembe mutombo play basketball at 	3
where can i find a review of nightmare on elm street in a film journal 	4
who was the first king of england 	3
where is belize located 	4
what hall of fame pitcher started three world series games for the new york yankees 	3
where is the virtual desk reference 	4
what city in florida is sea world in 	4
what is the most common cancer 	1
how many logarithmic scales are there on a slide rule 	5
where do you find the answers for all these questions 	4
where is webster university 	4
what dictator has the nickname `` el maximo '' 	3
how do you pronounce `` tzimisce '' 	0
where did george of the jungle live 	4
what is the web address at which i can find the e mail address of 	4
who were the `` filthiest people alive '' 	3
what 's the southern dish made of pigs ' small intestines 	1
what is the lowest level of the american judiciary 	1
where can i find all the information i need to know about the english civil 	4
what does nasdaq stand for 	2
name a south african diamond producer 	3
what sport do the cleaveland cavaliers play 	1
what was cash conscious colonel edwin l drake the first to drill 	1
what do hank aaron jimmy stewart and howard k smith have in common 	0
how can i find a list of celebrities ' real names 	0
what 's a craps player called 	1
what layer of the atmosphere contains most of the ozone layer 	1
when was christ born 	5
what is the full name of the plo 	2
how much money does each player get at the beginning of the game in monopoly 	5
what 's the maximum length in inches of a first baseman 's glove 	5
what city is terrorized by dracula in the night stalker 	4
what caused the titanic to sink 	0
what is the exchange rate for australian to american money 	5
which of the following celebrities was not born in philadelphia 	3
what two major world religions began in india 	1
what multitalented academy award winning director failed a college course in motion picture production 	3
of children between the ages of two and eleven what percentage watch `` the simpsons 	5
who won the battle of gettysburg 	3
who does the voices of the simpsons 	3
what 's the word for broken glass or sharp rocks embedded in cement on top 	1
how many years old is benny carter 	5
which of the following was rhodes scholar 	3
what is the history of yo yos 	0
what mary tyler moore show regular came into the world as tadeus wladyslaw konopka 	1
what garment was named for bradley voorhees and day 	1
when was microsoft established 	5
what season is the setting for shakespeare 's midsummer night 's dream 	5
what are the words to the song sung by `` banana in pajamas '' 	0
when was the de beers company founded 	5
what is zionism 	0
what company named one of its pens `` the banana '' 	3
when did theo rousseau paint the `` forest of fontaine '' 	5
how many languages are there in the world 	5
who is known as `` the world 's oldest teenager '' 	3
what is the abbreviated form of the national bureau of investigation 	2
what 's the largest u s city on the great lakes 	4
where is former pro wrestler johnny `` rubber man '' walker 	4
what country did the allies invade in world war ii 's operation avalanche 	4
in the movie groundshog day what is the name of the character played by andie 	3
what kind of crystals exist 	1
what is the name of david letterman 's dog 	1
what does e mc2 mean 	0
what is a `` false moon '' 	0
what does it mean `` rupee depreciates '' 	0
what was the long march in china 	0
what does choo choo charlie say 	0
who sings the song `` drink to me with thine eyes '' by ben johnson 	3
how do you send a movie transcript to hollywood so that it can be produced 	0
what plants are found in an estuary 	1
who was the president of vichy france 	3
when was cnn 's first broadcast 	5
what 's the most popular form of bridge 	1
who is section manager for guidance and control systems at jpl 	3
when was the first practical commercial typewriter marketed 	5
what female faith healer wrote the inspirational book i believe in miracles 	3
who is the prime minister in norway 	3
what late night tv show features larry bud melman and toast on a stick 	1
dialing 900 740 tree to have a tree planted will cost how much 	5
what city or state do the most gay men live in 	4
how big is the chappellet vineyard 	5
how does hair curl 	0
how many trees go into paper making in a year 	5
what 's destroyed in genesis 19 24 	1
where can i find lyrics for r b 	4
what is a fear of machinery 	1
how far is it from phoenix to blythe 	5
how did water appear on the earth 	0
what party was winston churchill a member of 	3
what 's men 's par on a 455 yard golf hole 	5
where is the kentucky horse park located 	4
where can i find correct tabs for third eye blind songs 	4
what was the alternate to vhs 	1
what does the `` blue ribbon '' stand for 	2
which member of charlie 's angels sang vocals for josie and the pussycats 	3
what type of currency is used in china 	1
what kind of animals are dorsets lincolns oxfords and southdowns 	1
what is a softball made of 	1
what is a fear of being alone 	1
what is the most efficient way to start a barbeque 	1
when superman needs to get away from it all where does he go 	4
how many earthworms are in a single pasture 	5
what is the name of the country which hitler ruled 	4
what actor and actress have made the most movies 	3
who created billy pilgrim a survivor of the dresden firestorm 	3
what is the difference between a classical and an acoustic guitar 	0
how do you get dates with the `` hooters '' girls 	0
what 's another word that means `` knows all '' 	1
name the fast food chain with the golden arches 	3
who thought he 'd never see a poem lovely as a tree 	3
what do most tourists visit in reims 	4
what are close encounters of the first and second kind 	1
where can i find the history of the taiwanese language 	4
what country owns corsica 	4
what is the meaning of caliente in english 	0
what is the normal resting heart rate of a healthy adult 	5
how many miles is it to ohio from north carolina 	5
what book does holden caulfield appear in 	1
what 's the difference between carelessness and carefreeness 	0
what is a heuristic 	0
who was the columbia pictures head who forged actor cliff robertson 's name on a 	3
what tv show did john sebastian sing the theme for 	1
what should you do for an ankle sprain 	0
what company has built more than 2 5 billion little green houses since 1935 	3
what did esquire name ash hole of the year for 1980 	1
what is the zodiac sign for august 14 	1
where is the abominable snowman said to wander 	4
how old is the sun 	5
in what ways did ivan iv support russian expansion 	1
what 12 hour cold medicine uses the formula `` 6 6 12 '' in its 	1
how many bends are there in a standard paper clip 	5
what california desert is dubbed high desert 	4
where did hillary clinton graduate college 	4
what was the occupation of mandy rice davies 	3
where are some great educational resources for parents and teachers 	4
who claimed to be the world 's most perfectly developed man 	3
what 's the nearest star to earth 	4
what three colors are on the french flag 	1
how do you make dumplings 	0
who wrote the book `` song of solomon '' 	3
what shakespearean play featured shylock 	1
what sport does chris jogis play 	1
what asian country has a bill of rights for cows 	4
what blood sport features a movement called a veronica 	1
what is a good book to read for people who hate to read 	1
what is the origin of the word marijuana 	0
when are sheep shorn 	5
who released the internet worm in the late 1980s 	3
what famous film and tv cowboy lent his name to a fast food chain 	3
what is the order of the arrow in boy scouts 	0
how many objects orbit the earth 	5
how many rows of sprocket holes does a roll of 35 millimeter film have 	5
who painted the sistine chapel 	3
what kind of women gave sigmund freud erotic dreams 	3
what percentage of americans own their homes 	5
who is the richest woman in the world 	3
what las vegas hotel burned in november 1980 with the loss of 84 lives 	4
what animals did the amazing three masquerade as 	1
what female painter produced primitives of rural new england life 	3
what is the homelite inc home page 	4
what river is windsor castle on 	4
how much coca cola is drunk in one day in the world 	5
what film had bette davis creating a scandal by wearing a daring red gown to 	1
how do i tie a tie 	0
what is the lens behind the iris in the eye called 	1
which killer whale died at sea world of a fungal infection 	1
what is after death 	1
what does a red flag mean in auto racing 	0
what is the cause of endangered species 	0
what is swap math 	0
where do the blackhawks maintain their operations 	4
what do you do when your mouse is n't working as fast as it 's 	0
what sinatra hit did he dooby dooby do in 	1
what president had never held an elected office until he was elected to the white 	3
what clause in the u s constitution may not be changed altered or amended 	0
what country boasts ismail 's palace and the palace of king farouk 	4
which airplane did fawaz younis hijack 	1
in what book can i find the story of aladdin 	1
what michelangelo sculpture is in saint peter 's cathedral basilica 	1
name of heroine in `` scruples '' 	3
who wrote `` poems are made by fools like me but only god can make 	3
where can i find detailed information about manchukuo 	4
how long should a person wash their hands before they are clean 	5
in my antonia how is mr shimerda out of place on the farm 	0
what is the largest natural lake in pennsylvania 	4
how deep is a fathom 	5
which police department made the all time biggest cocaine bust in ventura county 	3
what new york yankee was known as the iron horse 	3
who did sara jane moore try to assassinate 	3
what are the low countries 	0
how do you say `` fresh '' in spanish 	1
what is the most popular last name 	3
when was the brandenburg gate in berlin built 	5
when did spain and korea start ambassadorial relations 	5
where can i buy a hat like the kind jay kay from jamiroquai wears 	4
how long was the oj simpson trial 	5
what are the most albums sold by one artist or band 	1
who do herb and tootsie live next door to 	3
what is olestra 	0
what is the name of the brilliant british economist behind its creation 	3
what color are school buses 	1
what are halloween 's colors 	1
how many american soldiers remain unaccounted from the vietnam war 	5
what happened to phillip taylor kramer 	0
what country has the best defensive position in the board game diplomacy 	4
what caribbean cult did marcus garvey originate 	1
what is the name of the inventor of silly putty 	3
which company that manufactures video game hardware sells the `` super system '' 	3
where can i find full written draft of ctbt 	4
what country was hitler the chancellor of 	4
what baseball star turned down a 1 000 a year contract because he felt he 	3
what company tabulates the ballots in voting for the academy awards 	3
what are some interesting facts and information about dogsledding 	0
how do you say 2 in latin 	1
what auto race was wilbur reed the first to win three times 	1
what fictional character is known as the `` melancholy dane '' 	3
which of the following famous people does not paint as a hobby 	3
name one of the major gods of hinduism 	3
what four u s states have active volcanoes 	4
what is the abbreviated term used for the national bureau of investigation 	2
how many different kinds of ice cream are there 	5
who co starred with julie andrews in mary poppins 	3
what is a fear of reptiles 	1
what comedian created a punch drunk pugilist named cauliflower mcpugg 	3
what is win rah 	0
what lake is the source of the white nile 	4
what u s president showed a fondness for munching on bee pollen bars 	3
how many dogs pull a sled in the iditarod 	5
what is the nature of learning 	0
what argentine revolutionary fought with castro and died in bolivia in may 1979 	3
what german city do italians call the monaco of bavaria 	4
what does iq stand for 	2
what is the first day of the week 	5
what is the orgin of xoxoxox 	0
where can i get a complete listing of showtimes in my area 	4
who was charles lindbergh 's wife 	3
what nationality is a sicilian 	4
what is the origin of blue for boys and pink for girls 	0
what made the short lived star hawks strip so unique 	0
what did warlock wear on his forehead in marvel comics 	1
what country boasts the most dams 	4
what do a diamond and lump of coal have in common 	0
what is the purpose of a car bra 	0
what game is garry kasparov really good at 	1
what president to be was the first member of congress to enlist following the attack 	3
what product `` doubles your pleasure doubles your fun '' 	1
who was the first taiwanese president 	3
what flower did vincent van gogh paint 	1
what was suzy parker doing to earn 1 000 in the early 1950 's 	0
where is the statistical abstract of the united states online 	4
what is the trademark of a washington redskin 's fan 	1
how can i find a phone number of someone if i only know their email 	0
what city 's theatrical district has been dubbed the roaring forties 	4
what was the name of the titanic 's captain 	3
what cereal goes `` snap crackle pop '' 	1
what is the origin of the proverb `` a stitch in time saves nine '' 	0
what is the average hourly rate of american workers 	5
what is the origin of thank you notes 	0
whose image is alleged to be on the shroud of turin 	3
what is the largest and most expensive freeway construction project in the u s right 	4
what polynesian people inhabit new zealand 	3
where did woodstock take place 	4
who was shot in the back during a poker game in deadwood the dakota territory 	3
what ship did lloyd m bucher command 	1
who invented astroturf 	3
what u s state has the most blondes 	4
who 's the lead singer of the led zeppelin band 	3
what south korean city is served by kimpo international airport 	4
what country contains the westernmost point in south america 	4
why do many native american students not complete college 	0
what was the first lifesaver flavor 	1
what element from the periodic table is a gas or a solid but never a 	1
why is thanksgiving on a thursday 	0
whose first presidential order was `` let 's get this goddamn thing airborne '' 	3
what are the five most expensive cities in the world 	4
what are perfect tenses 	0
what 's another name for aspartame 	1
who is olive oyl 's brother 	3
what magazine paid ernest hemingway 15 a word to write a bullfighting article 	1
what does `` saute '' mean 	0
how many miles is it from london england to plymouth england 	5
what is the name of a book written by aaron hass 	1
what are the lyrics to the star spangled banner 	0
what causes tuberculosis 	0
how long do cardinal eggs incubate 	5
what are the four natural aids used in riding a horse 	1
what beer tells us `` grab all the gusto you can get '' 	1
